city,neighbourhood,total_count,average_price
New York,Bay Ridge,62,60.82
New York,Borough Park,61,56.66
Istanbul,Gaziosmanpasa,61,711.21
New York,Canarsie,61,133.97
New York,Woodside,60,137.77
Sydney,Holroyd,60,314.48
Sydney,Campbelltown,60,127.05
Bangkok,Parthum Wan,60,1608.52
Rio de Janeiro,Lagoa,60,561.32
Istanbul,Adalar,60,496.95
Bangkok,Bang Khen,60,1604.3
Mexico City,Xochimilco,59,1828.47
Rio de Janeiro,Vargem Grande,59,1048.19
New York,Flatiron District,59,341.61
New York,Jackson Heights,59,117.19
New York,South Slope,59,74.25
Rio de Janeiro,Gavea,58,316.36
Bangkok,Bang Khae,58,1891.14
Cape Town,Ward 85,58,1098.48
Hong Kong,Sham Shui Po,58,689.84
New York,Cobble Hill,58,189.81
Istanbul,Tuzla,58,524.31
Bangkok,Bangkok Yai,57,1640.53
Rio de Janeiro,Gloria,57,337.82
New York,East Elmhurst,57,120.82
Rio de Janeiro,Taquara,57,1044.56
Rio de Janeiro,Catete,57,190.58
Istanbul,Beykoz,56,434.45
Sydney,Strathfield,56,156.38
New York,Battery Park City,56,207.68
New York,Murray Hill,56,133.13
Cape Town,Ward 73,56,648.38
New York,Gowanus,56,76.18
Rio de Janeiro,Humaita,56,172.05
Hong Kong,Sai Kung,55,974.04
Rio de Janeiro,Camorim,55,217.91
Sydney,Randwick,55,57.05
Rio de Janeiro,Taquara,55,287.55
New York,Kensington,55,54.13
Cape Town,Ward 3,55,589.96
Bangkok,Lak Si,55,1307.67
Bangkok,Sathon,54,1519.67
Cape Town,Ward 71,53,1537.87
New York,Bedford-Stuyvesant,53,36.15
Hong Kong,North,53,912.72
Rio de Janeiro,Guaratiba,53,3084.87
Bangkok,Bang Kho laen,52,1633.21
Bangkok,Chom Thong,52,2157.02
Cape Town,Ward 5,51,955.24
Istanbul,Arnavutkoy,51,339.18
Rio de Janeiro,Cosme Velho,51,711.27
Istanbul,Beykoz,51,2553.76
Paris,Popincourt,51,192.8
Sydney,Fairfield,50,81.02
Cape Town,Ward 8,50,946.18
Mexico City,La Magdalena Contreras,49,869.12
New York,Bay Ridge,48,160.81
Istanbul,Gungoren,48,518.63
Rio de Janeiro,Freguesia (Jacarepagua),48,297.85
Istanbul,Bagcilar,48,325.08
New York,Forest Hills,48,73.81
New York,Red Hook,48,182.04
New York,Elmhurst,48,163.13
New York,Sheepshead Bay,47,89.79
Istanbul,Zeytinburnu,47,511.83
New York,Woodhaven,47,52.81
Cape Town,Ward 54,46,5395.07
Bangkok,Samphanthawong,46,2512.3
New York,Rego Park,46,78.48
Bangkok,Lat Phrao,46,1516.93
New York,Tribeca,46,148.48
Bangkok,Phaya Thai,45,1260.13
Rio de Janeiro,Vargem Pequena,45,813.16
Bangkok,Bang Khae,45,6331.91
Cape Town,Ward 103,45,1091.16
Paris,Popincourt,45,33.02
Cape Town,Ward 109,44,1341.95
Rio de Janeiro,Jacarepagua,44,239.39
New York,Midwood,44,59.95
Sydney,Campbelltown,44,479.8
Bangkok,Bangkok Noi,44,2404.32
New York,Arverne,44,296.43
New York,Forest Hills,44,186.16
Istanbul,Tuzla,43,272.35
Rio de Janeiro,Rio Comprido,43,209.86
Cape Town,Ward 105,43,1338.02
New York,Richmond Hill,43,65.05
Bangkok,Don Mueang,43,1414.91
New York,Midwood,42,99.52
Istanbul,Basaksehir,42,509.29
New York,Hell's Kitchen,42,104.81
Cape Town,Ward 83,42,803.93
Bangkok,Pom Prap Sattru Phai,41,2056.73
Paris,Bourse,41,275.41
New York,NoHo,41,235.56
New York,Springfield Gardens,41,133.68
New York,Brownsville,41,62.63
Cape Town,Ward 115,41,344.76
Rio de Janeiro,Rio Comprido,40,527.3
Rio de Janeiro,Sao Cristovao,40,469.48
New York,Two Bridges,40,79.43
Paris,Observatoire,40,164.9
Bangkok,Khan Na Yao,40,2448.58
Paris,Enclos-St-Laurent,40,40.75
Bangkok,Chom Thong,39,1159.59
Mexico City,Benito Juarez,39,1918.03
New York,Roosevelt Island,39,81.41
Rio de Janeiro,Estacio,39,142.85
Cape Town,Ward 60,39,557.26
New York,Flatlands,38,121.87
New York,Wakefield,38,92.34
Rio de Janeiro,Sao Cristovao,38,357.66
Sydney,Randwick,38,143.61
Cape Town,Ward 60,38,946.47
Istanbul,Beylikduzu,38,323.32
Rio de Janeiro,Vidigal,38,206.63
Cape Town,Ward 102,38,939.39
Mexico City,Coyoacan,37,1175.62
Paris,Vaugirard,37,51.78
New York,St. Albans,37,93.65
New York,Springfield Gardens,37,68.27
New York,Carroll Gardens,37,117.43
Istanbul,Besiktas,37,534.32
Bangkok,Huai Khwang,37,2494.03
New York,Stuyvesant Town,36,99.19
Istanbul,Arnavutkoy,36,780.22
Sydney,Fairfield,36,129.81
New York,Brighton Beach,36,130.58
Bangkok,Khlong San,36,2391.08
Cape Town,Ward 8,36,578.97
Sydney,Hunters Hill,35,405.31
New York,Rosedale,35,63.74
Bangkok,Bueng Kum,35,1572.17
Rio de Janeiro,Barra de Guaratiba,35,1858.57
Mexico City,Miguel Hidalgo,35,1543.57
