city,neighbourhood,total_count
Rio de Janeiro,Andarai,25
New York,Harlem,25
Cape Town,Ward 60,25
New York,Claremont Village,25
New York,Rosedale,25
New York,Washington Heights,25
Bangkok,Rat Burana,25
New York,Brighton Beach,24
Cape Town,Ward 14,24
New York,Port Morris,24
New York,Williamsbridge,24
New York,Stuyvesant Town,24
New York,St. George,24
Cape Town,Ward 46,24
New York,Norwood,24
Istanbul,Gungoren,24
Mexico City,Coyoacan,24
Rio de Janeiro,Anil,23
New York,Williamsburg,23
Istanbul,Esenler,23
New York,Two Bridges,23
Bangkok,Khlong Sam Wa,23
Istanbul,Esenyurt,23
Cape Town,Ward 86,23
Rio de Janeiro,Recreio dos Bandeirantes,23
New York,Wakefield,23
Sydney,Camden,23
Cape Town,Ward 27,23
Rio de Janeiro,Engenho de Dentro,23
Istanbul,Besiktas,23
New York,Upper East Side,23
New York,Long Island City,22
Bangkok,Pom Prap Sattru Phai,22
Istanbul,Bayrampasa,22
Istanbul,Esenler,22
Cape Town,Ward 103,22
Bangkok,Sai Mai,22
New York,Borough Park,22
New York,Kew Gardens,22
Rio de Janeiro,Andarai,22
Rome,V Prenestino/Centocelle,22
New York,Tompkinsville,21
New York,Little Italy,21
New York,Brooklyn Heights,21
Rome,IX Eur,21
Rio de Janeiro,Curicica,21
Istanbul,Gaziosmanpasa,21
Paris,Passy,21
Rome,V Prenestino/Centocelle,21
New York,Chelsea,21
Paris,Gobelins,21
Bangkok,Samphanthawong,21
Rio de Janeiro,Jardim Guanabara,21
Rio de Janeiro,Barra de Guaratiba,21
Rio de Janeiro,Paqueta,21
Istanbul,Bakirkoy,20
Rio de Janeiro,Todos os Santos,20
Istanbul,Sancaktepe,20
New York,Arverne,20
Cape Town,Ward 9,20
New York,DUMBO,20
Bangkok,Khlong Sam Wa,20
Paris,Hotel-de-Ville,20
Cape Town,Ward 102,20
Rio de Janeiro,Praca da Bandeira,20
Mexico City,Tlahuac,20
Rio de Janeiro,Leme,20
New York,Windsor Terrace,20
New York,Fresh Meadows,20
Hong Kong,Southern,20
New York,Woodhaven,20
New York,SoHo,20
Rio de Janeiro,Grajau,20
Paris,Gobelins,20
Rio de Janeiro,Engenho de Dentro,20
New York,Throgs Neck,20
New York,Ozone Park,20
Sydney,North Sydney,20
New York,East Harlem,19
Sydney,Ryde,19
Paris,Reuilly,19
Istanbul,Bakirkoy,19
New York,Briarwood,19
New York,Kingsbridge,19
Cape Town,Ward 27,19
New York,Bayside,19
New York,Brownsville,19
Paris,Batignolles-Monceau,19
Bangkok,Parthum Wan,19
New York,Financial District,19
Mexico City,Tlalpan,19
Cape Town,Ward 10,19
Hong Kong,Kwun Tong,19
Istanbul,Avcilar,18
Cape Town,Ward 67,18
Bangkok,Saphan Sung,18
New York,Downtown Brooklyn,18
New York,Middle Village,18
New York,Midtown,18
Istanbul,Atasehir,18
Rio de Janeiro,Anil,18
New York,Vinegar Hill,18
Hong Kong,North,18
Bangkok,Taling Chan,18
Rio de Janeiro,Engenho Novo,18
Rio de Janeiro,Pechincha,18
New York,Queens Village,18
Cape Town,Ward 11,18
Rio de Janeiro,Portuguesa,18
New York,Parkchester,18
New York,Red Hook,18
Bangkok,Din Daeng,18
Rio de Janeiro,Tijuca,18
Rome,II Parioli/Nomentano,18
New York,Allerton,18
New York,Concourse,18
New York,Corona,18
Rio de Janeiro,Santa Teresa,17
New York,Ozone Park,17
New York,Laurelton,17
New York,Hunts Point,17
Rio de Janeiro,Copacabana,17
Rio de Janeiro,Meier,17
New York,St. George,17
Rome,III Monte Sacro,17
New York,Glendale,17
Rio de Janeiro,Iraja,17
Rome,VIII Appia Antica,17
Bangkok,Don Mueang,17
Bangkok,Thung khru,17
Cape Town,Ward 14,16
Rio de Janeiro,Ipanema,16
New York,Murray Hill,16
Rio de Janeiro,Cachambi,16
New York,Concourse Village,16
Sydney,Hunters Hill,16
New York,Far Rockaway,16
Rome,VII San Giovanni/Cinecitta,16
New York,Morris Park,16
Rio de Janeiro,Campo Grande,16
Bangkok,Phra Khanong,16
Cape Town,Ward 64,16
Rome,XV Cassia/Flaminia,16
Bangkok,Lat Krabang,16
Istanbul,Kagithane,16
New York,Tompkinsville,16
Cape Town,Ward 23,16
New York,Parkchester,16
Cape Town,Ward 26,16
New York,Bayside,16
Istanbul,Catalca,16
New York,University Heights,15
New York,Kew Gardens Hills,15
Istanbul,Maltepe,15
Bangkok,Bangkok Noi,15
New York,Williamsbridge,15
Bangkok,Bang Khun thain,15
Cape Town,Ward 57,15
Istanbul,Pendik,15
Rio de Janeiro,Bras de Pina,15
Bangkok,Chatu Chak,15
Bangkok,Khlong San,15
Hong Kong,Tsuen Wan,15
New York,Morris Heights,15
Sydney,Lane Cove,15
Bangkok,Pom Prap Sattru Phai,15
Mexico City,Gustavo A. Madero,14
Cape Town,Ward 74,14
New York,West Village,14
New York,Hell's Kitchen,14
New York,Allerton,14
New York,West Brighton,14
New York,Astoria,14
Rio de Janeiro,Maracana,14
Hong Kong,Tuen Mun,14
Cape Town,Ward 15,14
Bangkok,Suanluang,14
Sydney,Parramatta,14
Hong Kong,Tuen Mun,14
Mexico City,Gustavo A. Madero,14
New York,Fresh Meadows,14
Bangkok,Samphanthawong,14
New York,Highbridge,14
Cape Town,Ward 61,14
Paris,Temple,14
New York,Briarwood,14
Rio de Janeiro,Gardenia Azul,14
Rio de Janeiro,Bonsucesso,14
Bangkok,Thung khru,14
Rio de Janeiro,Joa,14
Istanbul,Atasehir,13
New York,Bayswater,13
New York,Port Morris,13
Sydney,Botany Bay,13
New York,Longwood,13
Istanbul,Sultangazi,13
Rio de Janeiro,Ipanema,13
New York,Flatbush,13
Mexico City,Milpa Alta,13
New York,Flatiron District,13
Paris,Observatoire,13
Rio de Janeiro,Alto da Boa Vista,13
Istanbul,Sultanbeyli,13
