city,neighbourhood,room_type,average_price
Cape Town,Ward 57,Private room,535
Cape Town,Ward 113,Private room,534.87
Istanbul,Besiktas,Hotel room,534.32
New York,Briarwood,Private room,533.58
Cape Town,Ward 102,Private room,533.4
Rio de Janeiro,Grumari,Entire place,532.67
Cape Town,Ward 108,Entire place,532
Rio de Janeiro,Rio Comprido,Entire place,527.3
Istanbul,Tuzla,Entire place,524.31
Hong Kong,Kwun Tong,Private room,522.53
Rio de Janeiro,Santa Cruz,Entire place,518.8
Istanbul,Gungoren,Private room,518.63
Rio de Janeiro,Campo Grande,Entire place,518.36
Mexico City,Miguel Hidalgo,Shared room,514.77
Istanbul,Zeytinburnu,Private room,511.83
Bangkok,Bangkok Yai,Shared room,510.2
Istanbul,Basaksehir,Private room,509.29
Rio de Janeiro,Rocha,Entire place,508.67
Sydney,Mosman,Entire place,508.51
Rio de Janeiro,Cidade Nova,Entire place,504.36
Cape Town,Ward 11,Private room,501.77
Hong Kong,Sham Shui Po,Hotel room,500
Hong Kong,Kowloon City,Hotel room,500
Mexico City,Tlalpan,Hotel room,500
Cape Town,Ward 72,Shared room,500
Cape Town,Ward 81,Private room,500
Hong Kong,Tsuen Wan,Hotel room,500
New York,Riverdale,Entire place,499.67
Istanbul,Adalar,Private room,496.95
Istanbul,Avcilar,Entire place,495.95
Rio de Janeiro,Camorim,Entire place,495.31
Rio de Janeiro,Sepetiba,Private room,494
Rio de Janeiro,Guaratiba,Private room,493.92
Rio de Janeiro,Praca Seca,Entire place,493.14
Cape Town,Ward 63,Shared room,490
Istanbul,Adalar,Hotel room,489.56
Mexico City,Tlalpan,Private room,487.53
Hong Kong,Kowloon City,Shared room,487.07
Hong Kong,Sai Kung,Shared room,483.67
Sydney,Campbelltown,Entire place,479.8
Rio de Janeiro,Leme,Entire place,479.35
Istanbul,Eyup,Entire place,478.75
Hong Kong,Central & Western,Private room,478.13
Cape Town,Ward 68,Private room,477.8
Istanbul,Beyoglu,Entire place,476.15
Mexico City,Iztacalco,Private room,475.27
Rio de Janeiro,Itanhanga,Private room,473.62
Hong Kong,Yuen Long,Shared room,473.3
Rio de Janeiro,Meier,Entire place,471.25
Rio de Janeiro,Sao Cristovao,Entire place,469.48
Rio de Janeiro,Pedra de Guaratiba,Entire place,467.33
Hong Kong,Tuen Mun,Private room,464.79
Rio de Janeiro,Sepetiba,Entire place,460
Istanbul,Catalca,Private room,459.25
New York,Tribeca,Entire place,458.64
